cust_id,lookalikes
C0001,"[('C0086', 0.9965598542786218), ('C0189', 0.9947758676617726), ('C0055', 0.9939654933749849)]"
C0002,"[('C0199', 0.9982471461816442), ('C0010', 0.9979534969456437), ('C0033', 0.9799011783177446)]"
C0003,"[('C0178', 0.9995885797002526), ('C0036', 0.9786006873583916), ('C0035', 0.9761120852820767)]"
C0004,"[('C0101', 0.9970619994749312), ('C0156', 0.9963834608120107), ('C0108', 0.9960448742187614)]"
C0005,"[('C0073', 0.999668484309933), ('C0159', 0.999298548671801), ('C0112', 0.997443691602328)]"
C0006,"[('C0079', 0.9999821793740599), ('C0196', 0.9919608994975659), ('C0158', 0.9815921638621639)]"
C0007,"[('C0080', 0.9929249994633613), ('C0078', 0.9917129822303032), ('C0042', 0.9855771300098242)]"
C0008,"[('C0109', 0.9709038923612349), ('C0147', 0.9419023492615938), ('C0093', 0.9403302888344656)]"
C0009,"[('C0077', 0.9997951665967079), ('C0083', 0.9968573416849928), ('C0060', 0.9835032515541875)]"
C0010,"[('C0002', 0.9979534969456437), ('C0199', 0.9924198364232709), ('C0009', 0.9824088594191668)]"
C0011,"[('C0114', 0.9983696656678615), ('C0183', 0.9906337145196823), ('C0016', 0.9877678520249997)]"
C0012,"[('C0155', 0.9978463141889224), ('C0065', 0.9935312408188857), ('C0165', 0.9931684960567074)]"
C0013,"[('C0126', 0.9926214308944414), ('C0105', 0.9919152866244116), ('C0087', 0.9915061304215376)]"
C0014,"[('C0058', 0.9964466913798511), ('C0151', 0.9956968672495917), ('C0128', 0.9936981117665779)]"
C0015,"[('C0095', 0.9920322445339288), ('C0144', 0.9891380808219018), ('C0186', 0.9872600636953748)]"
C0016,"[('C0183', 0.9998079946413576), ('C0064', 0.9955107957712019), ('C0114', 0.9918043176929825)]"
C0017,"[('C0162', 0.9998337691353102), ('C0113', 0.9997594129851275), ('C0093', 0.9898149527536331)]"
C0018,"[('C0187', 0.9998519349668348), ('C0148', 0.9991977445468456), ('C0138', 0.9989578378486959)]"
C0019,"[('C0134', 0.911190214754234), ('C0038', 0.9075291494888971), ('C0069', 0.856889757255164)]"
C0020,"[('C0110', 0.9996747838249905), ('C0042', 0.9978935576602317), ('C0176', 0.9971423842843605)]"
